招聘岗位,企业名称,工作城市,工作区域,最低月薪_元,最高月薪_元,中位月薪_元,经验段,经验年限下限,经验年限上限,学历层级,AI标签列表,主要AI方向,岗位摘要,核心技能列表,招聘发布日期,发布月份
数据分析实习生,齐齐哈尔市富拉尔基区蔚来百货店,长沙,芙蓉区,,,,无经验要求,,,本科,机器学习,机器学习,数据收集清洗分析及可视化,SQL、Python、R、Excel、数据清洗、数据可视化、机器学习、报告撰写,2024-07-10 ,2024-07
产品经理,深圳市欧瑞博科技股份有限公司,深圳,南山区,28000,32000,30000.0,5-10年,5,10,本科,智能家居,人工智能,负责智能中控屏产品用户体验与创新规划,用户需求调研、竞品分析、用户体验优化、产品创新管理、团队协作、用户调研、产品生命周期管理,2024-04-02 ,2024-04
云网工程师,中国电信股份有限公司西藏分公司,昌都,nan,8000,16000,12000.0,实习/应届,,,本科,人工智能、云计算,人工智能,负责云网数据分析及项目交付与网络优化,云网运营分析、数据分析、网络质量分析、技术方案设计、故障处理、优化建议、客户网络分析、云网整治报告,2024-08-23 ,2024-08
数据分析师,贵州卓蓝优银电子科技有限公司,贵阳,nan,7000,10000,8500.0,1-3年,1,3,大专,机器学习、数据挖掘,机器学习,数据分析与挖掘，支持决策和技术创新,Excel、SQL、BI工具、数据挖掘、机器学习,2024-08-15 ,2024-08
中高级客户经理,中国联合网络通信有限公司柳州市分公司,柳州,,5000,10000,7500.0,1-3年,2,,大专,云计算、智慧金融,云计算,负责行业信息化需求，拓展智能平台,大数据分析、物联网技术、云计算、智慧平台项目销售、客户服务、商务谈判、项目管理、抗压能力,2024-06-17 ,2024-06
分行信用卡客户经理,兴业银行股份有限公司武汉分行,武汉,武昌区,8000,15000,11500.0,1-3年,2,,大专,数据挖掘,数据挖掘,负责信用卡业务拓展、客户维护及市场策略制定,数据分析工具、数据挖掘、市场策略制定、客户关系维护、团队协作、市场调研,2024-11-22 ,2024-11
测试中心负责人,广东泰一高新技术发展有限公司,惠州,惠城区,15000,20000,17500.0,3-5年,3,5,本科,无人驾驶,无人驾驶,负责无人机测试团队建设与工艺迭代优化,无人机控制原理、飞控嵌入式开发、网络通讯开发、航测流程管理、工艺迭代优化、低空政策法规,2024-03-12 ,2024-03
销售经理(人工智能方向),深圳市华安泰智能科技有限公司,深圳,龙岗区,8000,12000,10000.0,3-5年,3,,大专,人工智能、AI产品,人工智能,负责AI产品销售及市场开发,AI产品销售、物联网技术、市场开发、客户维护、AI算法,2024-09-18 ,2024-09
风控策略分析师,海创云出海计算技术（成都）有限公司,成都,高新区,15000,25000,20000.0,3-5年,3,5,本科,机器学习,机器学习,负责信贷风控策略分析与优化,Excel、SQL、Python、Tableau、AB测试、用户画像分析、风险定价模型、统计分析,2024-03-27 ,2024-03
Python开发工程师,上海幻隙网络科技有限公司,天津,河西区,6030,7590,6810.0,无经验要求,,,中专及以下,机器学习、数据挖掘,机器学习,Python开发及维护，数据挖掘与机器学习应用,Python、机器学习、数据挖掘、网络编程、爬虫、SQLite、Django、Git,2024-11-13 ,2024-11
单片机软件工程师,浙江聚新汽车电子有限责任公司,杭州,余杭区,10000,20000,15000.0,5-10年,5,7,本科,智能家居,智能家居,负责智能马桶软件开发及新技术研究,C语言、步进电机控制、直流电机控制、温度控制、智能家居、软件调试,2024-08-10 ,2024-08
云客户经理,江苏端木软件技术有限公司,天津,南开区,4000,7000,5500.0,无经验要求,,,本科,云计算,云计算,负责云计算产品销售及客户关系维护,云计算销售、客户关系维护、公有云产品知识、销售技巧、沟通能力、团队协作,2024-07-27 ,2024-07
互联网软件工程师,北京华锐同创系统技术有限公司,北京,朝阳区,12000,24000,18000.0,3-5年,3,4,本科,人机交互,人机交互,负责软件架构设计与产品规划，主导原型及需求文档编写,Axure、Visio、数据库应用、人机交互设计、Office软件、需求分析、系统架构设计,2024-09-19 ,2024-09
Java（医疗大数据）,南京易联阳光信息技术股份有限公司,南京,秦淮区,9000,10000,9500.0,3-5年,3,,本科,大数据处理,大数据处理,负责医疗大数据开发及模块独立开发,Vue.js、JavaScript、Spring Boot、Spring MVC、MyBatis、SQL、数据库开发,2024-09-06 ,2024-09
算法工程师,迈克生物股份有限公司,成都,郫都区,13000,18000,15500.0,3-5年,3,,硕士,机器学习、深度学习、数据挖掘、模式识别、人工智能、神经网络,机器学习,医疗仪器算法研发与优化,C++、机器学习、数据挖掘、算法设计、图像处理、神经网络、文献阅读、团队协作,2024-07-10 ,2024-07
初级硬件工程师,深圳市艾瑞泽电子有限公司,深圳,宝安区,8000,15000,11500.0,1-3年,1,3,大专,智能家居,智能家居,负责硬件开发及智能家居产品设计与调试,PADS软件、电路设计、PCB layout、元件选型、电路调试、EMC对策、FCC/CE认证,2024-03-26 ,2024-03
大众点评经理,无锡韩宴餐饮管理有限公司,无锡,滨湖区,10000,12000,11000.0,3-5年,3,,大专,数据挖掘,数据挖掘,负责大众点评平台运营及数据分析工作,数据分析、竞品分析、营销策略、平台运营、数据挖掘、团队合作,2024-07-29 ,2024-07
天猫运营,广州艾都化妆品有限公司,广州,白云区,7000,10000,8500.0,3-5年,3,,大专,数据挖掘,数据挖掘,负责天猫店铺运营及数据分析优化,天猫运营、数据分析、商品推广、客户服务、数据挖掘,2024-07-12 ,2024-07
商务经理（电子口岸）,佛山市工贸集团有限公司,佛山,禅城区,10000,20000,15000.0,5-10年,5,,本科,人工智能,人工智能,负责商务洽谈、市场策略及客户资源维护,信息化政策分析、市场营销策略、商务谈判技巧、公文写作能力、项目管理经验、政府关系协调,2024-09-09 ,2024-09
ETL开发项目经理,上海品腾信息技术有限公司,上海,杨浦区,15000,30000,22500.0,5-10年,5,10,本科,大数据分析、大数据管理,大数据分析,负责数据项目管理及数据分析解决方案,项目管理、大数据分析、需求分析、技术选型、数据平台建设、文档编写,2024-03-29 ,2024-03
活动策划与会员数据管理,中关村清大企业家联谊会,深圳,南山区,10000,14000,12000.0,3-5年,2,,本科,机器学习、人工智能,机器学习,负责活动策划及会员数据管理与分析,活动策划、会员数据管理、Excel数据分析、财务预算与结算、视频剪辑、海报设计、新闻撰写、会议组织,2024-08-03 ,2024-08
自然语言处理工程师,未名融智（北京）科技有限公司,北京,nan,15000,25000,20000.0,1-3年,2,,本科,自然语言处理、深度学习,深度学习,负责自然语言处理与深度学习模型设计优化,自然语言处理、深度学习、Python、Java、TensorFlow、PyTorch、文本分类、情感分析,2024-07-26 ,2024-07
私域运营,广州市慧恒美容有限公司,广州,天河区,5000,10000,7500.0,3-5年,3,,本科,数据挖掘,数据挖掘,负责私域运营体系搭建与用户增长策略制定,企微工具、SCRM系统、数据分析、用户行为分析、数据挖掘、用户分层管理、活动策划、LTV优化,2024-12-13 ,2024-12
工艺工程师,佛吉亚（无锡）座椅部件有限公司,无锡,新吴区,7500,10000,8750.0,无经验要求,,,本科,人工智能,人工智能,负责工艺优化及数字化工厂转型,Power App、MySQL、PSE工具、PFMEA、HOSHIN、Kaizen、MTM/GSD、AGREPT,2024-07-12 ,2024-07
自动驾驶物流车销售经理,成都诸葛庐科技有限公司,成都,高新区,12000,18000,15000.0,3-5年,3,,大专,自动驾驶,无人驾驶,负责AI无人物流车的销售及客户开发,销售技巧、商务谈判、客户关系管理、市场分析、销售计划制定、合同谈判,2024-07-05 ,2024-07
数据分析助理,成都美丽一生健康科技有限公司,成都,青羊区,5000,6000,5500.0,3-5年,3,,大专,数据挖掘,数据挖掘,负责数据收集、数仓搭建及BI看板运维,SPSS、Power BI、SQL、Python、帆软BI、数据挖掘,2024-11-30 ,2024-11
算法工程师,深圳市酷开网络科技股份有限公司,深圳,宝安区,30000,45000,37500.0,5-10年,5,10,本科,图像识别、特征提取、深度学习,深度学习,负责图像视频算法研究及深度学习模型优化,图像处理算法、OpenCV、Python、Tensorflow、Pytorch、目标检测、OCR、算法优化,2024-03-28 ,2024-03
项目运营管理,陕西省通信服务有限公司,西安,新城区,6000,8000,7000.0,无经验要求,,,本科,大数据管理,大数据管理,统筹项目资源，推动业务发展与流程优化,数据分析、项目管理、流程优化、商务拓展、沟通协调,2024-07-08 ,2024-07
短视频拍摄剪辑,成都金翼云科技有限公司,成都,双流区,6000,12000,9000.0,1-3年,1,3,本科,人工智能,人工智能,负责短视频拍摄剪辑及AI流量矩阵运营,短视频剪辑、AI流量运营、创意策划、文案撰写、用户需求分析,2024-02-28 ,2024-02
直播玩法策略产品经理,抖音视界（北京）有限公司,深圳,南山区,25000,45000,35000.0,3-5年,3,5,本科,机器学习、数据挖掘,机器学习,优化直播策略与内容生态，提升活跃与营收,数据分析、策略优化、推荐系统、统计学、机器学习、逻辑思维、建模分析,2024-04-21 ,2024-04
大模型平台运维工程师,抖音视界（北京）有限公司,杭州,余杭区,25000,50000,37500.0,无经验要求,,,本科,云计算,云计算,负责大模型系统运维及稳定性建设,Python、Golang、Java、云原生、Terraform,2024-03-28 ,2024-03
业务风控策略专家,抖音视界（北京）有限公司,上海,徐汇区,20000,40000,30000.0,3-5年,3,5,本科,机器学习,机器学习,负责社区安全风控及策略体系搭建,SQL、机器学习、风控策略、数据分析、风险识别模型、策略体系设计、产品迭代驱动、跨团队协作,2024-03-27 ,2024-03
数据分析与收入保障,中国电信股份有限公司江西分公司,鹰潭,nan,8000,16000,12000.0,实习/应届,,,本科,云计算,云计算,负责系统维护、数据分析及大数据支撑工作,系统维护、数据分析、大数据处理、通信技术、自动化办公软件,2024-08-20 ,2024-08
大客户销售-军工行业,北京金山办公软件股份有限公司,北京,海淀区,10000,20000,15000.0,5-10年,5,10,不限,AI产品,AI产品,军工行业大客户销售及AI产品推广,需求分析、方案设计、大客户销售、客户关系管理、市场分析、客户服务,2024-01-15 ,2024-01
电商专员,太平人寿保险有限公司河南分公司,郑州,郑东新区,5000,10000,7500.0,无经验要求,,,大专,人工智能,人工智能,负责人工智能语音客户服务与跟踪,客户服务、沟通技巧、学习能力、应变能力、团队合作,2024-11-08 ,2024-11
鑫金大数据公司副总经理,成都市金牛城市建设投资经营集团有限公司,成都,金牛区,14000,15000,14500.0,5-10年,5,10,硕士,云计算,云计算,负责信息化战略、技术指导及大数据治理,大数据技术、云计算、区块链开发、数据治理、项目管理、跨部门协作、数据安全合规,2024-04-24 ,2024-04
路径规划算法工程师,陕西欧卡电子智能科技有限公司,西安,高新技术产业开发区,20000,40000,30000.0,3-5年,3,4,本科,无人驾驶、自动驾驶,无人驾驶,负责机器人及自动驾驶路径规划算法开发与调试,路径规划算法、运动规划算法、C/C++、Python、Linux、数值拟合、优化算法、决策算法,2024-09-26 ,2024-09
内容安全审核,北京中科航天人才服务有限公司,青岛,黄岛区,4000,6000,5000.0,无经验要求,,,大专,云计算,云计算,审核平台内容合规性，处理违规信息,云计算、网络技术、软件工程、电子信息、通信工程、信息系统,2024-04-24 ,2024-04
销售经理（运营商行业）,北京天融信科技有限公司,郑州,中原区,10000,20000,15000.0,1-3年,2,,大专,云计算,人工智能,负责运营商DICT项目营销及商务谈判,DICT项目管理、运营商合作、商务谈判、市场分析、云计算,2024-08-29 ,2024-08
电气工程师/助理,佛山华数机器人有限公司,佛山,南海区,6000,12000,9000.0,1-3年,1,3,大专,机器人自动化,机器人自动化,负责机器人产品调试及客户技术支持,AutoCAD、EPLAN、PLC编程、工业机器人编程、电气设计、伺服电机控制、气动元器件应用、2D/3D视觉技术,2024-03-25 ,2024-03
电话客服和审核专员,上海煊橙信息科技有限公司,济宁,,3000,4000,3500.0,无经验要求,,,不限,人工智能,人工智能,数据标注与内容审核工作,数据标注、内容审核、沟通能力、电脑操作、远程办公,2024-09-06 ,2024-09
Python AI实习生,深圳市网新新思软件有限公司,深圳,南山区,4000,5000,4500.0,实习/应届,,,本科,AI产品,人工智能,参与Python AI产品开发与测试工作,Python、Django、Flask、Tornado、Docker、接口开发、调试测试、Linux环境维护,2024-01-30 ,2024-01
产品经理-工具类,北京乐我无限科技有限责任公司,北京,朝阳区,20000,40000,30000.0,3-5年,3,5,本科,数据挖掘,数据挖掘,优化工具类产品体验，推动技术协作与创新,数据挖掘、移动端工具产品、用户体验优化、产品设计、数据分析、海外市场,2024-03-28 ,2024-03
解决方案经理,中国电信股份有限公司新疆分公司,克孜勒苏,nan,8000,16000,12000.0,实习/应届,,,本科,云计算,云计算,行业解决方案设计与售前支持,计算机网络、云计算、大数据、办公软件、项目管理、沟通协调,2024-08-20 ,2024-08
深度学习高级算法工程师,合肥知常电子设备有限公司,合肥,蜀山区,25000,30000,27500.0,3-5年,3,5,硕士,计算机视觉、深度学习,深度学习,负责深度学习算法设计与部署,Python、C++、PyTorch、TensorFlow、图像处理,2024-08-16 ,2024-08
车载导航测试工程师,沈阳方羽科技有限公司,沈阳,浑南区,8000,13000,10500.0,5-10年,4,,大专,自动驾驶,自动驾驶,车载导航与自动驾驶测试工程师,车载导航测试、自动驾驶测试、导航引导、算路算法、定位技术、英语4级,2024-10-09 ,2024-10
客户成功经理,元一数科（北京）技术有限公司,北京,朝阳区,10000,15000,12500.0,1-3年,1,3,本科,云计算,云计算,负责客户软件培训及使用增长,IT软件、云计算、客户沟通、培训能力、抗压能力、快速学习,2024-02-28 ,2024-02
直播中控,深圳市发掘科技有限公司,佛山,顺德区,6000,8000,7000.0,1-3年,1,3,大专,智能家居,智能家居,负责直播中控及运营支持,直播设备调试、后台操作、广告投放策略、数据分析、粉丝运营、直播复盘优化,2024-10-01 ,2024-10
销售经理/渠道经理,北京凯利时科技有限公司,北京,朝阳区,9000,18000,13500.0,无经验要求,,,本科,云计算,云计算,负责直播行业销售策略及渠道合作,直播销售、渠道管理、云计算、商务谈判、标书撰写,2024-03-27 ,2024-03
AI开发工程师,中交第二航务工程勘察设计院有限公司,武汉,武昌区,10000,20000,15000.0,3-5年,3,,硕士,机器学习、深度学习,深度学习,负责AI技术应用与平台建设,Python、深度学习、机器学习、智能推荐、智能问答,2024-10-09 ,2024-10
招生老师,四川西南航空职业学院,枣庄,nan,12500,25000,18750.0,1-3年,1,,大专,无人驾驶,无人驾驶,负责招生宣传及学生信息收集工作,沟通能力、团队合作、市场开拓、招生渠道维护、销售技巧、客户服务、培训管理,2024-06-19 ,2024-06
软件经理,深圳市同为数码科技股份有限公司,深圳,南山区,30000,60000,45000.0,5-10年,5,7,本科,人脸识别,人脸识别,负责软件团队管理及技术架构设计,C/C++开发、音视频处理、嵌入式Linux、软件设计模式、网络编程、海思芯片平台,2024-11-25 ,2024-11
资深U3D开发工程师,上海曼恒数字技术股份有限公司,成都,高新区,15000,25000,20000.0,5-10年,5,,本科,虚拟现实,人工智能,负责VR软件架构设计与客户端开发,C#、C++、设计模式、多线程、网络编程、计算机图形学、性能优化,2024-10-13 ,2024-10
硬件工程师,好水（南京）环保科技有限公司,南京,nan,10000,20000,15000.0,3-5年,3,,本科,智能家居,智能家居,负责电子控制系统设计与优化,Altium Designer、电路仿真、硬件测试、EMC/EMI测试、技术文档编写、故障排查、嵌入式系统开发,2024-12-03 ,2024-12
机械设计工程师,苏州得奥自动化科技有限公司,苏州,相城区,8000,15000,11500.0,3-5年,3,,大专,机器人自动化,机器人自动化,机器人自动化设备开发设计与优化,机器人自动化设计、供料站设计、末端夹具设计、桁架设计、直线模组应用,2024-08-09 ,2024-08
楼宇智能化工程师,上海兆峰科技有限公司,上海,黄浦区,7000,14000,10500.0,3-5年,3,4,大专,人工智能,人工智能,楼宇智能化系统设计与AI技术应用,电气自动化、CAD、编程软件、物联网、人工智能,2024-11-02 ,2024-11
数据运营,特密诺（宁波）电子有限公司,杭州,nan,10000,12000,11000.0,1-3年,1,4,大专,数据挖掘,数据挖掘,负责数据处理分析，支持业务决策,SQL、Python、数据挖掘、数据分析,2024-11-12 ,2024-11
运维工程师,浙江鼎美智装股份有限公司,嘉兴,nan,6000,10000,8000.0,5-10年,5,,大专,云计算,人工智能,负责企业系统运维及云平台管理,数据库管理、SQL语言、JavaScript、网络协议、OA系统、云计算、云平台自动化,2024-07-16 ,2024-07
项目经理,上海喆塔信息科技有限公司,成都,高新区,18000,28000,23000.0,5-10年,5,,本科,数据挖掘,数据挖掘,负责CIM系统及数据挖掘项目全周期管理,项目管理、CIM系统实施、数据分析、数据挖掘、风险分析、沟通协调、工业生产流程、MES/YMS系统,2024-07-13 ,2024-07
算法-搜索推荐,上海壹佰米网络科技有限公司,上海,浦东新区,30000,60000,45000.0,5-10年,5,10,本科,机器学习、数据挖掘、自然语言处理、深度学习,深度学习,负责搜索推荐算法模型开发与优化,机器学习、深度学习、TensorFlow、Python、数据挖掘、自然语言处理、搜索算法,2024-03-27 ,2024-03
数据治理工程师（大数据）,广西柳工机械股份有限公司,柳州,nan,8000,12000,10000.0,3-5年,3,4,本科,机器学习、深度学习,机器学习,负责数据治理项目策划与平台建设,数据治理、Axure、Visio、MindManager、数据质量管理、数据标准管理、机器学习、深度学习,2024-08-16 ,2024-08
用户增长运营高级经理,北京花房科技有限公司,北京,朝阳区,20000,40000,30000.0,3-5年,3,5,本科,AI产品,人工智能,负责用户增长及AI产品运营策略制定与执行,用户增长策略、社区运营、AI产品运营、跨部门协作、数据分析、用户洞察、活动策划、团队管理,2024-01-03 ,2024-01
化学及材料基因组研发工程师,长鑫存储技术有限公司,合肥,nan,25000,50000,37500.0,1-3年,1,,博士,人工智能,人工智能,利用AI进行材料设计与高通量筛选,人工智能、材料基因组、高通量筛选、分子结构逆合成、谱图表征分析、数据库建设、智能化实验平台,2024-12-04 ,2024-12
深度学习图像算法工程师,南方电网传感科技（广东）有限公司,广州,黄埔区,15000,25000,20000.0,3-5年,3,,本科,人工智能、计算机视觉、特征提取、深度学习,深度学习,负责图像处理与计算机视觉算法研发及优化,C/C++、Python、OpenCV、TensorFlow、PyTorch、线性代数、概率论,2024-09-17 ,2024-09
项目经理-机器人方向,知行机器人科技（苏州）有限公司,苏州,太仓市,12000,18000,15000.0,5-10年,4,,本科,人工智能,人工智能,机器人项目全流程管理与协调,项目管理、需求对接、研发设计、BOM管理、多部门协调、文档编写,2024-08-19 ,2024-08
机械研发工程师,无锡先导智能装备股份有限公司,无锡,新吴区,20000,35000,27500.0,5-10年,5,7,本科,人工智能,人工智能,负责精密设备设计开发及自动化方案实施,精密设备设计、2D/3D设计软件、电机及气动元件选型、BOM清单整理、六轴四轴机器人应用、自动化专机设计、工艺能力评估,2024-07-25 ,2024-07
智能感知开发主任,中国第一汽车股份有限公司,南京,江宁区,17000,29000,23000.0,5-10年,5,10,不限,机器学习、深度学习、计算机视觉、自动驾驶、人工智能,自动驾驶,负责自动驾驶感知算法研发与团队管理,深度学习、C++、Python、Linux、Docker、计算机视觉、多传感器融合、毫米波雷达,2024-03-29 ,2024-03
智能产品经理,惠州雷士光电科技有限公司,惠州,惠城区,15000,25000,20000.0,5-10年,5,,本科,智能家居,智能家居,负责智能产品全生命周期管理及市场策略制定,产品管理、智能家居、市场策略、用户研究、商业运营、竞品分析、用户体验,2024-07-10 ,2024-07
资深风控算法工程师（国际支付/盗卡欺诈方向）,广州希音供应链管理有限公司,南京,雨花台区,40000,60000,50000.0,3-5年,3,5,本科,机器学习、数据挖掘、深度学习,机器学习,负责支付风控模型开发与优化,Python、机器学习、数据挖掘、SQL、Spark、深度学习、模型部署、图学习,2024-03-29 ,2024-03
AI工程师,苏州东山精密制造股份有限公司,苏州,nan,15000,24000,19500.0,3-5年,3,5,本科,机器学习、深度学习、计算机视觉、图像识别、人脸识别,深度学习,负责AI技术方案设计与算法模型优化,机器学习、深度学习、计算机视觉、图像处理、数据平台架构、大数据技术、云服务、微服务,2024-08-16 ,2024-08
运维运营,湖南拓维云创科技有限责任公司,北京,nan,12000,14000,13000.0,3-5年,3,5,本科,人工智能,人工智能,负责AI平台产品运营及策略优化,产品运营、数据分析、系统运维、k8s、docker、nginx、Linux、跨部门协作,2024-12-05 ,2024-12
运维专员,成都深鑫创联科技有限公司,重庆,渝中区,4500,6500,5500.0,无经验要求,,,大专,云计算,云计算,负责IT基础设施管理与维护,服务器管理、网络维护、数据库管理、虚拟化技术、云计算平台、基线化流程、变更管理、故障处理,2024-11-28 ,2024-11
